Date,Region,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Days on Market MoM,Days on Market YoY
2012-01-31,Auburn,188,81,118,447,107,38,10
2012-01-31,Marysville,180,78,93,285,65,12,-7
2012-01-31,Brier,540,7,5,26,147,71,38
2012-01-31,Renton,244,116,160,485,88,27,-14
2012-01-31,Mercer Island,863,12,40,105,88,3,-87
2012-01-31,Tukwila,122,15,17,60,98,-2,-29
2012-01-31,Bothell,314,117,155,339,74,-12,4
2012-01-31,Redmond,385,69,98,272,114,31,18
2012-01-31,Mill Creek,320,23,29,87,62,34,-35
2012-01-31,Mountlake Terrace,119,11,36,65,35,4,-58
2012-01-31,Bellevue,370,121,191,486,60,-11,-17
2012-01-31,Woodinville,353,40,44,125,99,2,14
2012-01-31,Puyallup,178,100,143,557,83,15,-16
2012-01-31,Mukilteo,365,19,23,83,131,44,49
2012-01-31,Newcastle,549,10,21,58,90,28,-141
2012-01-31,Bainbridge Island,407,29,52,207,129,-38,-24
2012-01-31,Burien,181,36,59,189,91,0,-54
2012-01-31,Olympia,235,69,163,662,123,23,26
2012-01-31,Lynnwood,223,59,96,312,60,-14,-52
2012-01-31,Tacoma,141,238,340,1326,68,-18,-24
2012-01-31,Shoreline,247,42,72,147,66,21,-22
2012-01-31,Seattle,260,2280,3479,9909,75,7,-13
2012-01-31,Issaquah,353,53,97,286,48,-33,-54
2012-01-31,Everett,181,126,203,552,56,-3,-49
2012-01-31,Kenmore,382,17,37,94,177,54,42
2012-01-31,Edmonds,320,40,77,221,95,46,-18
2012-01-31,Seattle,320,493,782,1931,62,2,-12
2012-01-31,Kent,200,89,159,501,90,7,-6
2012-01-31,Snoqualmie,377,20,24,82,143,-7,-7
2012-01-31,Kirkland,338,102,126,311,88,21,-1
2012-01-31,DuPont,285,7,10,34,92,28,25
2012-01-31,SeaTac,123,17,30,99,49,1,-41
2012-01-31,Lake Forest Park,385,7,18,37,77,-49,-46
2012-01-31,Des Moines,185,19,32,131,116,32,38
2012-01-31,Lakewood,183,34,52,207,60,-43,-21
2012-01-31,Sammamish,534,67,85,209,90,5,-9
2012-01-31,North Bend,203,14,23,61,104,57,-84
2012-01-31,Federal Way,159,62,96,336,54,-18,-5
2012-02-29,Renton,235,154,202,466,62,-26,-43
2012-02-29,Kirkland,305,111,149,277,67,-21,-39
2012-02-29,Issaquah,362,72,110,274,110,62,-4
2012-02-29,Seattle,350,671,997,1929,40,-22,-26
2012-02-29,Seattle,273,2961,4124,9482,69,-6,-20
2012-02-29,Marysville,193,90,91,235,53,-12,-28
2012-02-29,Brier,500,1,3,24,142,-5,49
2012-02-29,Redmond,390,103,157,272,102,-12,8
2012-02-29,Olympia,221,106,169,654,115,-8,17
2012-02-29,Newcastle,538,13,27,60,29,-61,-60
2012-02-29,Everett,187,151,194,512,63,7,-14
2012-02-29,Sammamish,520,79,129,214,85,-5,11
2012-02-29,Edmonds,320,53,69,196,82,-13,0
2012-02-29,Lynnwood,203,96,119,286,82,22,-9
2012-02-29,Kenmore,355,21,33,93,112,-65,-12
2012-02-29,Mountlake Terrace,157,31,21,52,35,0,-150
2012-02-29,DuPont,261,10,21,37,82,-10,-34
2012-02-29,Bainbridge Island,483,24,54,209,98,-31,6
2012-02-29,Bellevue,418,168,219,449,55,-5,-29
2012-02-29,Auburn,206,102,161,461,97,-10,17
2012-02-29,North Bend,249,15,26,60,55,-49,-25
2012-02-29,Kent,200,143,165,458,72,-18,-31
2012-02-29,Mercer Island,705,28,39,98,86,-2,-10
2012-02-29,Puyallup,195,133,179,529,100,17,18
2012-02-29,Mukilteo,315,23,28,72,183,52,138
2012-02-29,Mill Creek,290,21,35,78,89,27,8
2012-02-29,Tukwila,148,16,19,60,110,12,55
2012-02-29,Tacoma,140,327,360,1265,72,4,-10
2012-02-29,SeaTac,126,18,23,93,66,17,-15
2012-02-29,Burien,194,44,51,174,107,16,-45
2012-02-29,Federal Way,175,80,120,312,94,40,-11
2012-02-29,Bothell,325,121,161,312,62,-12,-56
2012-02-29,Woodinville,433,40,62,133,67,-32,-34
2012-02-29,Lakewood,184,32,50,197,105,45,22
2012-02-29,Lake Forest Park,333,14,21,42,92,15,-24
2012-02-29,Shoreline,235,53,67,137,76,10,-8
2012-02-29,Des Moines,151,24,41,124,60,-56,-26
2012-02-29,Snoqualmie,439,30,48,83,131,-12,-22
2012-03-31,Mill Creek,295,33,28,79,63,-26,-20
2012-03-31,Bainbridge Island,500,39,48,186,84,-14,-93
2012-03-31,Newcastle,447,10,31,56,68,39,-30
2012-03-31,Kenmore,273,30,50,96,51,-61,-34
2012-03-31,Puyallup,195,125,184,532,66,-34,-10
2012-03-31,Kent,212,128,165,433,70,-2,-27
2012-03-31,DuPont,267,6,16,34,30,-52,10
2012-03-31,Kirkland,363,120,149,281,36,-31,-15
2012-03-31,Lake Forest Park,357,16,16,38,54,-38,-62
2012-03-31,Shoreline,246,54,83,145,25,-51,-28
2012-03-31,Everett,200,150,177,481,63,0,-38
2012-03-31,Seattle,290,3144,4281,9414,47,-22,-21
2012-03-31,Auburn,197,97,149,439,88,-9,-9
2012-03-31,Issaquah,380,93,151,287,54,-56,-35
2012-03-31,Bellevue,445,181,229,479,25,-30,-37
2012-03-31,Tacoma,145,259,400,1287,69,-3,-2
2012-03-31,Woodinville,427,48,69,140,53,-14,-4
2012-03-31,SeaTac,139,22,25,76,99,33,-1
2012-03-31,Burien,211,50,39,155,75,-32,15
2012-03-31,Mukilteo,360,23,25,67,42,-141,-19
2012-03-31,Mountlake Terrace,187,18,26,49,53,18,-60
2012-03-31,Redmond,455,102,158,291,38,-64,8
2012-03-31,Marysville,175,85,106,232,54,1,5
2012-03-31,Federal Way,154,92,109,312,61,-33,-21
2012-03-31,Lynnwood,243,104,134,266,50,-32,-33
2012-03-31,North Bend,274,10,31,65,28,-27,-68
2012-03-31,Lakewood,140,47,61,213,41,-64,-100
2012-03-31,Seattle,378,779,1039,1947,30,-10,-13
2012-03-31,Snoqualmie,412,27,41,85,94,-37,25
2012-03-31,Renton,250,127,205,463,55,-7,-17
2012-03-31,Edmonds,300,75,94,188,91,9,4
2012-03-31,Tukwila,163,16,25,68,148,38,23
2012-03-31,Sammamish,473,106,147,232,39,-46,-19
2012-03-31,Brier,275,4,5,15,103,-39,-59
2012-03-31,Des Moines,168,31,33,113,96,36,24
2012-03-31,Mercer Island,850,31,41,89,30,-56,-74
2012-03-31,Bothell,315,147,163,304,63,1,-16
2012-03-31,Olympia,244,127,212,661,134,19,28
2012-04-30,Seattle,380,893,1078,1955,19,-11,-16
2012-04-30,Seattle,299,3571,4468,9380,35,-12,-23
2012-04-30,Auburn,209,127,168,443,73,-15,-26
2012-04-30,Olympia,231,134,219,667,75,-59,11
2012-04-30,Issaquah,439,94,146,302,32,-22,-30
2012-04-30,Bellevue,460,189,245,477,24,-1,-27
2012-04-30,Brier,500,9,8,13,102,-1,25
2012-04-30,Redmond,452,119,146,302,27,-11,-46
2012-04-30,North Bend,222,23,37,72,20,-8,-65
2012-04-30,Tacoma,155,308,407,1275,65,-4,-5
2012-04-30,Kent,200,141,185,440,49,-21,-12
2012-04-30,Woodinville,410,53,77,146,18,-35,-38
2012-04-30,Renton,255,144,201,447,31,-24,-39
2012-04-30,SeaTac,125,23,35,78,53,-46,-16
2012-04-30,Tukwila,120,15,25,69,40,-108,-37
2012-04-30,Mukilteo,285,25,34,72,88,46,11
2012-04-30,Mercer Island,765,36,37,83,27,-3,-27
2012-04-30,Burien,194,49,78,169,43,-32,-5
2012-04-30,Federal Way,183,104,120,308,36,-25,-35
2012-04-30,Kirkland,361,127,182,307,27,-9,-12
2012-04-30,Puyallup,199,138,194,532,61,-5,-20
2012-04-30,DuPont,260,13,15,37,22,-8,-16
2012-04-30,Snoqualmie,443,29,36,86,49,-45,-59
2012-04-30,Lakewood,229,32,44,191,116,75,57
2012-04-30,Newcastle,440,19,31,56,21,-47,-55
2012-04-30,Kenmore,371,34,38,81,38,-13,-35
2012-04-30,Marysville,180,93,91,202,44,-10,-29
2012-04-30,Edmonds,325,81,104,201,47,-44,7
2012-04-30,Lake Forest Park,370,23,15,29,35,-19,15
2012-04-30,Everett,190,172,220,473,54,-9,-4
2012-04-30,Bothell,325,142,177,304,49,-14,-18
2012-04-30,Shoreline,252,68,87,151,20,-5,-64
2012-04-30,Bainbridge Island,527,48,84,213,95,11,-46
2012-04-30,Mill Creek,346,30,38,78,60,-3,-27
2012-04-30,Sammamish,530,104,139,234,21,-18,-29
2012-04-30,Des Moines,175,44,46,104,89,-7,-18
2012-04-30,Mountlake Terrace,196,28,14,40,35,-18,-42
2012-04-30,Lynnwood,250,116,120,223,60,10,9
2012-05-31,Bothell,318,164,187,312,32,-17,-34
2012-05-31,Everett,185,187,226,495,46,-8,-9
2012-05-31,SeaTac,188,24,21,66,40,-13,-30
2012-05-31,Marysville,194,89,95,197,47,3,-15
2012-05-31,Mercer Island,825,36,56,101,8,-19,-28
2012-05-31,Mill Creek,347,42,28,66,40,-20,-44
2012-05-31,Burien,220,40,56,154,35,-8,-19
2012-05-31,Tukwila,69,11,20,62,104,64,64
2012-05-31,Lakewood,175,53,81,222,51,-65,-13
2012-05-31,Kenmore,350,47,45,81,41,3,-2
2012-05-31,Snoqualmie,448,28,27,86,54,5,-109
2012-05-31,Renton,248,168,187,442,30,-1,-37
2012-05-31,Tacoma,160,322,392,1300,56,-9,-8
2012-05-31,Mountlake Terrace,201,18,20,38,66,31,34
2012-05-31,Edmonds,358,78,97,195,21,-26,-32
2012-05-31,Kent,230,129,143,410,57,8,3
2012-05-31,Shoreline,297,62,60,159,35,15,-16
2012-05-31,Seattle,380,925,1015,1971,17,-2,-20
2012-05-31,Bellevue,485,219,193,424,18,-6,-21
2012-05-31,Auburn,225,109,147,415,58,-15,-20
2012-05-31,Kirkland,393,137,168,296,22,-5,-13
2012-05-31,Brier,310,9,4,9,27,-75,-52
2012-05-31,Woodinville,498,66,60,144,45,27,-8
2012-05-31,Redmond,472,123,179,328,35,8,-9
2012-05-31,Des Moines,189,37,31,98,103,14,44
2012-05-31,Issaquah,441,114,130,291,35,3,-22
2012-05-31,Seattle,310,3736,4199,9312,31,-4,-20
2012-05-31,Bainbridge Island,453,51,67,215,53,-42,-20
2012-05-31,Lynnwood,248,117,108,217,51,-9,-26
2012-05-31,Federal Way,207,94,100,284,24,-12,-57
2012-05-31,Newcastle,480,28,31,61,22,1,-70
2012-05-31,Sammamish,515,118,155,252,25,4,-30
2012-05-31,DuPont,270,11,6,31,28,6,-11
2012-05-31,Lake Forest Park,416,19,26,38,42,7,12
2012-05-31,Mukilteo,395,28,37,77,33,-55,-12
2012-05-31,Olympia,250,151,225,717,59,-16,-5
2012-05-31,North Bend,385,23,18,70,33,13,-3
2012-05-31,Puyallup,202,150,189,548,60,-1,-6
2012-06-30,Shoreline,294,60,74,152,18,-17,-25
2012-06-30,Everett,200,167,166,466,35,-11,-17
2012-06-30,Mountlake Terrace,225,28,17,37,26,-40,-59
2012-06-30,Auburn,220,123,154,428,50,-8,-28
2012-06-30,Bainbridge Island,535,53,45,196,32,-21,-12
2012-06-30,Kirkland,377,137,172,309,22,0,-10
2012-06-30,Seattle,310,3594,3916,9172,28,-3,-24
2012-06-30,Kenmore,312,38,28,68,33,-8,-63
2012-06-30,Des Moines,163,33,48,111,35,-68,-43
2012-06-30,Bellevue,493,191,235,436,19,1,-24
2012-06-30,Lake Forest Park,411,11,20,43,8,-34,-59
2012-06-30,DuPont,280,13,14,33,26,-2,-26
2012-06-30,Puyallup,199,130,185,564,56,-4,3
2012-06-30,Mill Creek,364,38,49,67,29,-11,-30
2012-06-30,Mercer Island,773,27,47,116,25,17,-22
2012-06-30,Tukwila,173,16,23,63,28,-76,-77
2012-06-30,Renton,271,168,175,410,26,-4,-34
2012-06-30,North Bend,270,17,23,66,27,-6,-138
2012-06-30,Olympia,240,159,190,712,45,-14,-37
2012-06-30,Sammamish,542,120,114,252,23,-2,-17
2012-06-30,Brier,310,4,7,9,141,114,121
2012-06-30,Seattle,375,834,906,1945,20,3,-13
2012-06-30,Federal Way,170,109,84,274,49,25,-21
2012-06-30,Edmonds,311,80,93,190,24,3,-45
2012-06-30,Kent,215,153,148,402,39,-18,-31
2012-06-30,Lynnwood,260,105,129,225,36,-15,-17
2012-06-30,Snoqualmie,423,22,30,85,57,3,-23
2012-06-30,Lakewood,174,34,51,218,34,-17,-50
2012-06-30,Redmond,490,127,98,268,21,-14,-33
2012-06-30,Newcastle,465,29,26,58,19,-3,-22
2012-06-30,Bothell,320,151,178,303,30,-2,-40
2012-06-30,Marysville,185,97,58,164,41,-6,-1
2012-06-30,SeaTac,170,25,25,69,79,39,6
2012-06-30,Tacoma,155,277,376,1261,44,-12,-28
2012-06-30,Burien,235,61,70,155,31,-4,-61
2012-06-30,Mukilteo,395,23,39,78,21,-12,-28
2012-06-30,Issaquah,375,99,131,299,25,-10,-28
2012-06-30,Woodinville,430,47,75,158,29,-16,-38
2012-07-31,Issaquah,407,128,112,278,21,-4,-26
2012-07-31,Redmond,500,140,135,267,33,12,-23
2012-07-31,Marysville,190,102,101,178,53,12,-25
2012-07-31,Mill Creek,355,34,31,59,24,-5,-33
2012-07-31,Newcastle,484,30,25,53,11,-8,-10
2012-07-31,Burien,175,67,62,158,65,34,11
2012-07-31,Des Moines,148,36,42,114,32,-3,-48
2012-07-31,Lakewood,165,48,40,198,47,13,7
2012-07-31,Kenmore,345,40,29,74,48,15,-1
2012-07-31,Bainbridge Island,497,56,49,201,72,40,35
2012-07-31,Mountlake Terrace,205,21,25,38,36,10,-16
2012-07-31,Woodinville,458,63,63,150,27,-2,-17
2012-07-31,Bothell,332,161,154,301,21,-9,-49
2012-07-31,Snoqualmie,415,46,32,81,41,-16,-8
2012-07-31,Renton,290,184,189,426,27,1,-33
2012-07-31,Kent,220,141,157,408,44,5,-21
2012-07-31,Edmonds,339,82,78,178,31,7,-38
2012-07-31,Federal Way,189,81,103,275,44,-5,-40
2012-07-31,Auburn,212,132,167,439,60,10,1
2012-07-31,Seattle,360,873,862,1865,22,2,-16
2012-07-31,Brier,285,10,7,8,77,-64,47
2012-07-31,Mukilteo,408,25,33,77,20,-1,-90
2012-07-31,Olympia,228,175,216,713,60,15,-18
2012-07-31,North Bend,315,25,36,87,68,41,21
2012-07-31,Tukwila,161,21,23,56,32,4,11
2012-07-31,Sammamish,541,122,105,242,20,-3,-29
2012-07-31,Mercer Island,787,34,50,115,25,0,-37
2012-07-31,Puyallup,197,156,164,541,54,-2,-18
2012-07-31,Lynnwood,234,116,140,257,19,-17,-47
2012-07-31,Tacoma,151,320,348,1260,38,-6,-25
2012-07-31,Lake Forest Park,399,21,19,44,31,23,-5
2012-07-31,Kirkland,405,146,156,325,22,0,-34
2012-07-31,Seattle,312,3783,3963,9186,30,2,-24
2012-07-31,Bellevue,508,206,241,453,17,-2,-25
2012-07-31,Shoreline,271,62,74,149,17,-1,-51
2012-07-31,SeaTac,180,21,24,67,36,-43,-19
2012-07-31,Everett,212,188,186,460,46,11,-22
2012-07-31,DuPont,255,8,7,34,8,-18,-37
2012-08-31,Redmond,455,112,116,242,36,3,-14
2012-08-31,Snoqualmie,396,33,29,80,41,0,-40
2012-08-31,Bothell,335,159,140,276,20,-1,-48
2012-08-31,Everett,216,158,148,423,27,-19,-22
2012-08-31,Lake Forest Park,395,12,17,46,47,16,-27
2012-08-31,Marysville,210,61,91,189,45,-8,5
2012-08-31,Newcastle,465,21,23,54,37,26,-31
2012-08-31,Mill Creek,329,32,21,54,21,-3,-48
2012-08-31,Woodinville,430,54,55,136,26,-1,-42
2012-08-31,DuPont,257,6,10,33,92,84,23
2012-08-31,Lynnwood,246,92,103,248,26,7,-26
2012-08-31,Kent,215,122,140,392,54,10,-1
2012-08-31,Seattle,313,3098,3683,9006,28,-2,-28
2012-08-31,Edmonds,302,75,58,172,25,-6,-32
2012-08-31,Seattle,368,705,1024,1958,17,-5,-26
2012-08-31,Kirkland,407,122,129,304,26,4,-22
2012-08-31,Brier,330,5,4,6,30,-47,-36
2012-08-31,Mukilteo,385,26,24,76,24,4,-35
2012-08-31,Olympia,229,124,162,700,65,5,-4
2012-08-31,Auburn,220,108,127,419,53,-7,-12
2012-08-31,North Bend,364,15,13,78,15,-53,-29
2012-08-31,Tukwila,225,19,28,67,51,19,5
2012-08-31,Puyallup,205,122,125,508,54,0,7
2012-08-31,Bellevue,507,182,208,420,21,4,-29
2012-08-31,Sammamish,507,89,98,242,25,5,-21
2012-08-31,Mercer Island,986,30,30,110,31,6,16
2012-08-31,Issaquah,449,98,100,278,24,3,-36
2012-08-31,Federal Way,210,84,101,285,38,-6,-29
2012-08-31,Burien,194,40,59,164,42,-23,-41
2012-08-31,SeaTac,188,25,20,71,25,-11,-66
2012-08-31,Mountlake Terrace,225,15,31,40,28,-8,1
2012-08-31,Lakewood,178,22,62,202,74,27,-41
2012-08-31,Des Moines,186,18,34,110,31,-1,-36
2012-08-31,Kenmore,352,29,38,79,29,-19,-26
2012-08-31,Bainbridge Island,396,34,43,189,61,-11,-14
2012-08-31,Shoreline,280,58,69,163,29,12,-31
2012-08-31,Renton,295,146,182,416,26,-1,-50
2012-08-31,Tacoma,168,252,366,1241,49,11,-25
2012-09-30,DuPont,290,4,10,27,29,-63,-43
2012-09-30,Lynnwood,257,90,100,228,36,10,-14
2012-09-30,Kent,227,115,96,352,59,5,-3
2012-09-30,Lake Forest Park,313,15,14,37,15,-32,-23
2012-09-30,Kirkland,411,124,136,260,35,9,-8
2012-09-30,Edmonds,314,61,51,138,47,22,-50
2012-09-30,Auburn,230,129,115,377,62,9,-23
2012-09-30,Marysville,195,94,89,182,19,-26,-26
2012-09-30,Renton,270,163,177,382,32,6,-38
2012-09-30,Bothell,308,131,105,238,27,7,-26
2012-09-30,Seattle,369,831,787,1706,20,3,-29
2012-09-30,Mountlake Terrace,185,22,26,38,11,-17,-32
2012-09-30,Brier,280,6,7,9,129,99,39
2012-09-30,Everett,229,149,202,417,33,6,-26
2012-09-30,Snoqualmie,412,23,23,72,38,-3,-30
2012-09-30,Issaquah,375,119,79,230,56,32,-13
2012-09-30,Bainbridge Island,498,48,24,163,74,13,8
2012-09-30,Mukilteo,390,26,26,63,37,13,16
2012-09-30,Olympia,246,154,154,670,86,21,18
2012-09-30,North Bend,324,24,36,84,40,25,-54
2012-09-30,Lakewood,186,42,56,194,69,-5,-2
2012-09-30,Kenmore,400,29,37,79,24,-5,-81
2012-09-30,Mercer Island,886,39,22,97,40,9,-17
2012-09-30,Bellevue,503,188,151,330,36,15,-8
2012-09-30,Burien,202,51,55,148,31,-11,-45
2012-09-30,Tukwila,162,19,14,51,21,-30,-38
2012-09-30,Redmond,490,113,108,205,28,-8,-14
2012-09-30,Mill Creek,333,30,23,47,22,1,-30
2012-09-30,SeaTac,169,18,23,69,55,30,6
2012-09-30,Woodinville,450,59,38,110,30,4,-35
2012-09-30,Newcastle,380,19,25,51,44,7,0
2012-09-30,Sammamish,537,84,88,188,37,12,2
2012-09-30,Puyallup,200,153,128,458,68,14,1
2012-09-30,Seattle,310,3361,3230,7981,32,4,-24
2012-09-30,Tacoma,163,298,381,1216,56,7,-12
2012-09-30,Des Moines,170,36,31,102,38,7,-26
2012-09-30,Federal Way,208,89,103,273,50,12,-2
2012-09-30,Shoreline,288,66,45,137,17,-12,-38
2012-10-31,Shoreline,285,53,29,112,34,17,-11
2012-10-31,Mountlake Terrace,183,28,17,37,18,7,-10
2012-10-31,Edmonds,332,57,46,111,29,-18,-58
2012-10-31,Kirkland,418,129,112,223,20,-15,-42
2012-10-31,Tacoma,160,281,260,1113,44,-12,-37
2012-10-31,Brier,340,3,3,8,14,-115,-1
2012-10-31,Seattle,386,760,556,1466,23,3,-22
2012-10-31,Renton,250,175,117,334,23,-9,-68
2012-10-31,Olympia,220,114,100,614,64,-22,-35
2012-10-31,Mercer Island,670,22,19,82,63,23,-1
2012-10-31,Lakewood,174,44,42,186,63,-6,-6
2012-10-31,Issaquah,426,77,56,197,30,-26,-57
2012-10-31,Bellevue,500,189,112,276,33,-3,-15
2012-10-31,Des Moines,173,24,27,97,43,5,-34
2012-10-31,Tukwila,175,11,31,66,25,4,-56
2012-10-31,North Bend,418,10,22,80,77,37,-60
2012-10-31,Mukilteo,379,34,16,55,28,-9,-12
2012-10-31,Kent,247,122,103,333,46,-13,-10
2012-10-31,Redmond,500,131,70,170,35,7,-32
2012-10-31,Seattle,320,3138,2481,7045,31,-1,-30
2012-10-31,Woodinville,511,56,31,91,33,3,-58
2012-10-31,Puyallup,201,132,140,456,55,-13,-16
2012-10-31,Lynnwood,258,94,77,205,21,-15,-30
2012-10-31,Lake Forest Park,334,11,10,30,56,41,29
2012-10-31,Bainbridge Island,425,28,23,143,84,10,-11
2012-10-31,Bothell,325,129,98,218,35,8,-28
2012-10-31,Sammamish,567,103,64,152,46,9,-30
2012-10-31,Newcastle,427,26,14,41,18,-26,-158
2012-10-31,Snoqualmie,420,27,35,72,58,20,-53
2012-10-31,Everett,216,134,150,372,25,-8,-51
2012-10-31,Burien,240,45,42,129,45,14,-20
2012-10-31,SeaTac,153,14,18,70,57,2,-4
2012-10-31,Marysville,189,81,74,166,22,3,-41
2012-10-31,Mill Creek,345,18,18,44,49,27,-43
2012-10-31,DuPont,274,10,5,26,48,19,30
2012-10-31,Auburn,245,110,103,354,45,-17,-34
2012-10-31,Federal Way,208,78,83,248,32,-18,-47
2012-10-31,Kenmore,418,20,29,63,20,-4,-33
2012-11-30,Burien,232,54,36,126,41,-4,-29
2012-11-30,North Bend,378,23,13,72,24,-53,-62
2012-11-30,Kirkland,400,121,70,203,38,18,-26
2012-11-30,Lynnwood,253,104,46,186,46,25,-31
2012-11-30,Snoqualmie,425,35,49,92,36,-22,-56
2012-11-30,Tacoma,155,281,221,1026,49,5,-15
2012-11-30,Issaquah,384,96,46,169,34,4,-30
2012-11-30,Bellevue,513,164,79,230,25,-8,-62
2012-11-30,Newcastle,525,21,9,32,57,39,22
2012-11-30,Seattle,310,3093,1784,6313,37,6,-30
2012-11-30,Des Moines,196,34,22,85,50,7,-24
2012-11-30,Mill Creek,300,24,12,44,26,-23,-44
2012-11-30,Mercer Island,756,31,12,64,86,23,68
2012-11-30,Tukwila,110,15,13,60,27,2,-87
2012-11-30,Redmond,525,105,66,155,34,-1,-34
2012-11-30,Renton,260,135,67,276,39,16,-21
2012-11-30,Lakewood,214,41,21,164,58,-5,-42
2012-11-30,Puyallup,201,126,89,430,49,-6,-20
2012-11-30,Kenmore,360,30,18,57,20,0,-11
2012-11-30,Federal Way,177,78,60,235,38,6,-18
2012-11-30,Auburn,238,114,112,341,50,5,-44
2012-11-30,Edmonds,336,69,40,104,45,16,-20
2012-11-30,Mukilteo,395,18,15,52,35,7,-55
2012-11-30,SeaTac,171,18,16,65,46,-11,-29
2012-11-30,DuPont,229,5,8,23,5,-43,-105
2012-11-30,Mountlake Terrace,183,16,8,27,35,17,-47
2012-11-30,Shoreline,263,54,18,95,23,-11,-26
2012-11-30,Everett,210,172,110,351,29,4,-30
2012-11-30,Brier,360,7,4,8,32,18,-26
2012-11-30,Sammamish,555,90,36,107,34,-12,-33
2012-11-30,Seattle,365,693,342,1268,31,8,-23
2012-11-30,Bothell,328,156,99,214,25,-10,-50
2012-11-30,Bainbridge Island,386,42,10,117,75,-9,-1
2012-11-30,Woodinville,432,44,20,87,41,8,-65
2012-11-30,Lake Forest Park,411,19,7,26,48,-8,-11
2012-11-30,Kent,240,114,90,314,50,4,-17
2012-11-30,Marysville,187,86,49,152,29,7,-29
2012-11-30,Olympia,220,119,86,558,75,11,-23
2012-12-31,Lakewood,190,28,35,138,85,27,-18
2012-12-31,Sammamish,491,72,97,105,37,3,-48
2012-12-31,Lynnwood,243,67,95,172,31,-15,-43
2012-12-31,Kirkland,356,86,139,216,19,-19,-48
2012-12-31,Tacoma,156,236,369,990,56,7,-30
2012-12-31,Brier,342,1,8,11,5,-27,-71
2012-12-31,Kent,210,80,116,279,55,5,-28
2012-12-31,DuPont,299,4,20,35,47,42,-17
2012-12-31,Marysville,205,62,95,165,26,-3,-27
2012-12-31,Burien,184,36,57,127,62,21,-29
2012-12-31,Snoqualmie,435,14,26,66,47,11,-103
2012-12-31,Renton,278,108,154,251,43,4,-18
2012-12-31,Auburn,247,111,119,328,52,2,-17
2012-12-31,Edmonds,313,52,61,102,31,-14,-18
2012-12-31,Lake Forest Park,297,6,24,34,13,-35,-113
2012-12-31,Tukwila,159,20,20,53,47,20,-53
2012-12-31,Redmond,435,64,103,152,28,-6,-55
2012-12-31,Olympia,224,104,151,542,98,23,-2
2012-12-31,Bothell,329,98,131,196,40,15,-46
2012-12-31,Everett,202,116,165,333,50,21,-9
2012-12-31,Puyallup,209,90,163,442,106,57,38
2012-12-31,SeaTac,195,9,23,60,19,-27,-29
2012-12-31,Woodinville,439,26,39,85,51,10,-46
2012-12-31,Shoreline,240,29,56,94,64,41,19
2012-12-31,Bellevue,488,117,178,255,22,-3,-49
2012-12-31,Issaquah,430,83,108,143,50,16,-31
2012-12-31,Mukilteo,367,20,37,61,34,-1,-53
2012-12-31,Des Moines,186,23,23,74,55,5,-29
2012-12-31,North Bend,314,15,26,71,23,-1,-24
2012-12-31,Federal Way,178,61,96,233,27,-11,-45
2012-12-31,Newcastle,436,14,20,27,59,2,-3
2012-12-31,Mountlake Terrace,197,16,23,24,41,6,10
2012-12-31,Kenmore,372,20,26,44,35,15,-88
2012-12-31,Seattle,290,2280,3253,6054,40,3,-28
2012-12-31,Seattle,350,519,721,1204,38,7,-22
2012-12-31,Mercer Island,949,20,31,60,97,11,12
2012-12-31,Mill Creek,355,21,29,41,13,-13,-15
2012-12-31,Bainbridge Island,349,24,40,122,111,36,-56
2013-01-31,North Bend,370,10,27,81,75,52,-29
2013-01-31,Kenmore,368,32,17,35,35,0,-142
2013-01-31,Mountlake Terrace,204,16,25,32,17,-24,-18
2013-01-31,Shoreline,265,29,48,90,83,19,17
2013-01-31,Des Moines,168,16,41,83,63,8,-53
2013-01-31,Renton,268,119,176,254,52,9,-36
2013-01-31,Everett,220,139,191,352,36,-14,-20
2013-01-31,Mill Creek,360,22,30,40,68,55,6
2013-01-31,Lynnwood,261,71,114,175,46,15,-14
2013-01-31,Kirkland,385,87,156,217,17,-2,-71
2013-01-31,Newcastle,450,27,30,40,41,-18,-49
2013-01-31,Bainbridge Island,425,31,40,114,94,-17,-35
2013-01-31,Seattle,310,2447,3709,6147,39,-1,-36
2013-01-31,Federal Way,205,61,88,213,49,22,-5
2013-01-31,Burien,215,39,52,121,41,-21,-50
2013-01-31,Mukilteo,370,15,32,59,61,27,-70
2013-01-31,Bellevue,547,124,181,249,17,-5,-43
2013-01-31,Issaquah,396,83,114,151,36,-14,-12
2013-01-31,Auburn,241,102,148,313,78,26,-29
2013-01-31,Snoqualmie,428,33,24,57,44,-3,-99
2013-01-31,Woodinville,429,32,35,68,37,-14,-62
2013-01-31,DuPont,335,4,20,44,32,-15,-60
2013-01-31,Puyallup,220,110,150,413,86,-20,3
2013-01-31,Olympia,235,101,151,524,108,10,-15
2013-01-31,Lake Forest Park,419,11,24,36,20,7,-57
2013-01-31,Sammamish,550,74,115,109,34,-3,-56
2013-01-31,Tukwila,180,17,23,49,59,12,-39
2013-01-31,Lakewood,201,33,57,160,52,-33,-8
2013-01-31,Marysville,196,75,73,140,35,9,-30
2013-01-31,Tacoma,164,247,396,1008,62,6,-6
2013-01-31,Edmonds,321,43,99,133,59,28,-36
2013-01-31,Brier,350,5,7,14,51,46,-96
2013-01-31,SeaTac,150,15,25,68,39,20,-10
2013-01-31,Redmond,485,81,129,171,43,15,-71
